2026-04-10 15:37:38 | DELETE | meus-planos-api/categorias/3
2026-04-10 15:37:38 | GET | meus-planos-api/categorias
2026-04-10 15:37:41 | OPTIONS | meus-planos-api/categorias
2026-04-10 15:37:41 | POST | meus-planos-api/categorias
2026-04-10 15:37:41 | GET | meus-planos-api/categorias
2026-04-10 15:37:43 | GET | meus-planos-api/categorias
2026-04-10 15:40:27 | GET | meus-planos-api/itens
2026-04-10 15:40:37 | GET | meus-planos-api/itens
2026-04-10 15:40:43 | GET | meus-planos-api/itens
2026-04-10 15:40:43 | GET | meus-planos-api/itens
2026-04-10 15:41:29 | GET | meus-planos-api/itens
2026-04-10 15:41:29 | GET | meus-planos-api/itens
2026-04-10 15:42:11 | GET | meus-planos-api/itens
2026-04-10 15:42:11 | GET | meus-planos-api/itens
2026-04-10 15:43:08 | GET | meus-planos-api/itens
2026-04-10 15:43:08 | GET | meus-planos-api/itens
2026-04-10 15:43:20 | GET | meus-planos-api/itens
2026-04-10 15:43:20 | GET | meus-planos-api/itens
2026-04-10 15:43:26 | GET | meus-planos-api/itens
2026-04-10 15:43:26 | GET | meus-planos-api/itens
2026-04-10 15:43:49 | GET | meus-planos-api/itens
2026-04-10 15:43:49 | GET | meus-planos-api/itens
2026-04-10 15:43:53 | GET | meus-planos-api/itens
2026-04-10 15:43:53 | GET | meus-planos-api/itens
2026-04-10 15:44:06 | GET | meus-planos-api/categorias
2026-04-10 15:44:08 | GET | meus-planos-api/itens
2026-04-10 15:44:08 | GET | meus-planos-api/itens
2026-04-10 15:44:19 | GET | meus-planos-api/categorias
2026-04-10 15:44:23 | OPTIONS | meus-planos-api/categorias
2026-04-10 15:44:23 | POST | meus-planos-api/categorias
2026-04-10 15:44:23 | GET | meus-planos-api/categorias
2026-04-10 15:44:24 | GET | meus-planos-api/itens
2026-04-10 15:44:24 | GET | meus-planos-api/itens
2026-04-10 15:44:26 | GET | meus-planos-api/itens
2026-04-10 15:44:26 | GET | meus-planos-api/itens
2026-04-10 15:44:36 | GET | meus-planos-api/itens
2026-04-10 15:44:36 | GET | meus-planos-api/itens
2026-04-10 15:49:27 | GET | meus-planos-api/itens
rias
2026-04-10 15:49:32 | GET | meus-planos-api/categorias
2026-04-10 15:49:42 | OPTIONS | meus-planos-api/itens
2026-04-10 15:49:42 | POST | meus-planos-api/itens
2026-04-10 15:49:42 | GET | meus-planos-api/itens
2026-04-10 15:49:43 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:49:43 | PUT | meus-planos-api/itens/1
2026-04-10 15:49:43 | GET | meus-planos-api/itens
2026-04-10 15:49:44 | PUT | meus-planos-api/itens/1
2026-04-10 15:49:44 | GET | meus-planos-api/itens
2026-04-10 15:49:44 | PUT | meus-planos-api/itens/1
2026-04-10 15:49:44 | GET | meus-planos-api/itens
2026-04-10 15:49:46 | PUT | meus-planos-api/itens/1
2026-04-10 15:49:46 | GET | meus-planos-api/itens
2026-04-10 15:49:48 | PUT | meus-planos-api/itens/1
2026-04-10 15:49:48 | GET | meus-planos-api/itens
2026-04-10 15:50:09 | OPTIONS | meus-planos-api/itens
2026-04-10 15:50:09 | POST | meus-planos-api/itens
2026-04-10 15:50:09 | GET | meus-planos-api/itens
2026-04-10 15:50:13 | OPTIONS | meus-planos-api/itens/2
2026-04-10 15:50:13 | DELETE | meus-planos-api/itens/2
2026-04-10 15:50:13 | GET | meus-planos-api/itens
2026-04-10 15:52:26 | GET | meus-planos-api/itens
rias
2026-04-10 15:52:27 | GET | meus-planos-api/categorias
2026-04-10 15:52:28 | GET | meus-planos-api/categorias
2026-04-10 15:54:40 | GET | meus-planos-api/itens
2026-04-10 15:54:40 | GET | meus-planos-api/categorias
2026-04-10 15:54:44 | GET | meus-planos-api/categorias
2026-04-10 15:54:46 | GET | meus-planos-api/itens
2026-04-10 15:54:46 | GET | meus-planos-api/categorias
2026-04-10 15:54:51 | GET | meus-planos-api/categorias
2026-04-10 15:56:08 | GET | meus-planos-api/categorias
2026-04-10 15:56:10 | GET | meus-planos-api/categorias
2026-04-10 15:56:34 | GET | meus-planos-api/categorias
2026-04-10 15:56:37 | GET | meus-planos-api/categorias
2026-04-10 15:56:38 | GET | meus-planos-api/itens
2026-04-10 15:56:38 | GET | meus-planos-api/categorias
2026-04-10 15:56:47 | GET | meus-planos-api/categorias
2026-04-10 15:56:54 | GET | meus-planos-api/categorias
2026-04-10 15:57:49 | GET | meus-planos-api/categorias
2026-04-10 15:57:52 | GET | meus-planos-api/categorias
2026-04-10 15:57:54 | GET | meus-planos-api/itens
rias
2026-04-10 16:03:23 | GET | meus-planos-api/categorias
2026-04-10 16:03:30 | GET | meus-planos-api/itens
2026-04-10 16:03:30 | GET | meus-planos-api/categorias
2026-04-10 16:03:36 | GET | meus-planos-api/categorias
2026-04-10 16:04:45 | GET | meus-planos-api/categorias
2026-04-10 16:04:48 | GET | meus-planos-api/categorias
2026-04-10 16:04:48 | GET | meus-planos-api/categorias
2026-04-10 16:04:48 | GET | meus-planos-api/itens
2026-04-10 16:05:42 | GET | meus-planos-api/itens
rias
2026-04-10 16:05:44 | GET | meus-planos-api/categorias
2026-04-10 16:05:57 | GET | meus-planos-api/categorias
2026-04-10 16:06:05 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 16:06:05 | DELETE | meus-planos-api/categorias/5
2026-04-10 16:06:05 | GET | meus-planos-api/categorias
2026-04-10 16:06:06 | GET | meus-planos-api/itens
2026-04-10 16:06:06 | GET | meus-planos-api/categorias
2026-04-10 16:06:10 | GET | meus-planos-api/categorias
2026-04-10 16:06:12 | OPTIONS | meus-planos-api/categorias/4
2026-04-10 16:06:12 | DELETE | meus-planos-api/categorias/4
2026-04-10 16:06:12 | GET | meus-planos-api/categorias
2026-04-10 16:06:13 | GET | meus-planos-api/categorias
2026-04-10 16:06:13 | GET | meus-planos-api/itens
